         6032 function calls (5989 primitive calls) in 2.882 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      286    2.876    0.010    2.876    0.010 {built-in method time.sleep}
        1    0.001    0.001    2.877    2.877 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/joblib/parallel.py:1746(_retrieve)
       10    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       82    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       19    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      287    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/joblib/parallel.py:1719(_wait_retrieval)
      326    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       99    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/inspect.py:2669(__init__)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/inspect.py:2331(_signature_from_function)
      286    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/joblib/parallel.py:768(get_status)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/synchronize.py:50(__init__)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/joblib/_parallel_backends.py:259(terminate)
       19    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:856(__init__)
        4    0.000    0.000    0.001    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/validation.py:736(check_array)
        1    0.000    0.000    0.001    0.001 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/pool.py:314(_repopulate_pool_static)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/validation.py:1490(check_random_state)
       23    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:243(__init__)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_tags.py:303(_find_tags_provider)
      441    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/numpy/_core/_ufunc_config.py:464(inner)
        3    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/numpy/lib/_arraysetops_impl.py:339(_unique1d)
       19    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:295(wait)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/base.py:200(_get_param_names)
    36/35    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/_param_validation.py:104(make_constraint)
        1    0.000    0.000    2.881    2.881 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/treeple/_lib/sklearn/ensemble/_forest.py:413(fit)
       16    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/multiprocessing/pool.py:924(Process)
      205    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       19    0.000    0.000    0.001    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/threading.py:945(start)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/base.py:214(<listcomp>)
        6    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/base.py:231(get_params)
       99    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/enum.py:688(__call__)
        1    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/sklearn/utils/multiclass.py:229(type_of_target)
        3    0.000    0.000    2.879    0.960 /home/clark/anaconda3/envs/treeple/lib/python3.11/site-packages/joblib/parallel.py:1638(_get_outputs)
