         26 function calls in 2.986 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.984    2.984    2.986    2.986 /home/clark/anaconda3/envs/treeple1/lib/python3.10/site-packages/treeple/tree/_classes.py:883(_build_tree)
        1    0.002    0.002    0.002    0.002 _oblique_splitter.pyx:187(init)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple1/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:3052(max)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple1/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple1/lib/python3.10/site-packages/scipy/_lib/_sparse.py:10(issparse)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 _oblique_splitter.pyx:127(__cinit__)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple1/lib/python3.10/abc.py:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple1/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:70(<dictcomp>)
        2    0.000    0.000    0.000    0.000 /home/clark/anaconda3/envs/treeple1/lib/python3.10/site-packages/numpy/_core/fromnumeric.py:3047(_max_dispatcher)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


