time,dim,sample
229.61934852600098,1000,1000
239.62825846672058,1000,2000
250.76014518737793,1000,3000
263.5731952190399,1000,4000
274.7674524784088,1000,5000
318.57919812202454,2000,1000
339.8899688720703,2000,2000
358.51887130737305,2000,3000
382.9648244380951,2000,4000
404.03248500823975,2000,5000
427.7826590538025,3000,1000
453.5329225063324,3000,2000
509.76151847839355,3000,3000
521.333114862442,3000,4000
551.8494346141815,3000,5000
587.4673655033112,4000,1000
628.1589953899384,4000,2000
662.2301759719849,4000,3000
703.9418284893036,4000,4000
745.8567242622375,4000,5000
788.2463247776031,5000,1000
833.7445092201233,5000,2000
869.5563130378723,5000,3000
922.8061797618866,5000,4000
969.7436378002167,5000,5000
